response_latency_ms,avg_pause_duration_ms,backspace_count,edit_intensity,cursor_corrections,first_keystroke_delay_ms,cognitive_bias_score,embodied_score,moral_reasoning_speed,response_entropy,humanity_score,agent_type
4844.4,523.4,8,0.2221,9,455.8,2.137,0.842,15203.8,3.278,1,human
1847.7,626.0,4,0.23,4,1527.0,2.39,0.48,9747.2,3.503,1,human
2208.0,244.5,4,0.3213,5,1315.2,3.036,0.716,5440.1,4.365,1,human
7214.8,401.4,10,0.4438,7,1278.8,3.527,0.862,5862.8,4.21,1,human
745.1,95.7,1,0.0744,2,80.2,0.152,0.363,396.2,4.437,0,mistral
367.3,50.3,0,0.0479,0,212.1,1.927,0.478,599.7,4.422,0,gemini
244.0,99.5,1,0.082,1,92.3,0.322,0.232,494.1,3.94,0,claude
2622.7,493.9,5,0.5181,7,1462.5,3.369,0.775,10995.2,3.02,1,human
3260.6,319.5,3,0.2202,5,1103.1,1.795,0.391,2322.1,4.015,1,human
4229.4,441.5,2,0.2295,7,2701.9,3.25,0.698,4586.6,3.688,1,human
11275.3,703.0,14,0.4779,12,510.2,2.863,0.886,14279.5,4.403,1,human
541.6,101.2,2,0.1498,1,115.4,0.179,0.581,566.7,4.129,0,gemini
5353.2,655.7,9,0.1391,8,2750.8,3.124,0.797,7712.1,4.792,1,human
463.0,55.9,2,0.0064,2,119.9,1.055,0.153,432.6,4.203,0,llama
2287.3,1989.8,4,0.1903,12,1015.2,2.292,0.749,3859.2,2.469,1,human
2767.7,1927.3,2,0.2922,10,924.5,3.628,0.724,3281.4,3.17,1,human
237.1,139.1,1,0.0176,1,117.8,0.111,0.397,617.5,4.074,0,gpt4
3292.5,555.0,2,0.2897,13,895.1,2.866,0.746,6107.0,4.54,1,human
229.9,88.3,0,0.0833,1,143.0,0.469,0.292,951.9,4.39,0,claude
5497.6,1097.1,7,0.2867,6,435.4,2.412,0.387,5475.4,3.29,1,human
234.3,63.3,0,0.1575,1,127.3,0.97,0.05,425.2,4.233,0,llama
11455.1,206.5,4,0.2565,10,1587.7,1.941,0.895,17679.9,3.651,1,human
903.5,84.0,1,0.4737,2,142.7,0.811,0.23,574.5,4.305,0,llama
352.8,77.3,0,0.1755,1,118.4,0.363,0.147,600.4,4.288,0,llama
2156.2,502.1,13,0.2664,9,331.1,2.965,0.542,4189.5,4.313,1,human
4573.4,190.4,3,0.2346,8,1677.7,3.213,0.474,4360.5,4.302,1,human
204.7,64.0,1,0.1732,1,66.6,1.21,0.187,536.8,4.73,0,gpt4
255.3,63.6,1,0.1874,1,143.5,2.341,0.218,487.1,4.236,0,mistral
1666.5,453.9,2,0.5241,12,629.2,2.605,0.861,11397.0,3.866,1,human
3461.5,207.3,2,0.3083,2,764.9,3.456,0.673,4394.8,3.74,1,human
4478.5,658.6,4,0.4566,11,3045.0,1.695,0.713,7913.0,4.9,1,human
261.8,83.3,0,0.2728,2,171.4,1.46,0.362,577.5,4.301,0,claude
13788.9,1309.7,8,0.229,8,1756.7,2.997,0.616,6819.7,4.236,1,human
2437.5,238.9,7,0.1346,11,1310.3,2.69,0.886,3852.1,3.705,1,human
5581.3,441.8,14,0.3931,10,1975.8,3.271,0.957,5151.4,4.008,1,human
4935.1,1256.6,15,0.2628,7,4115.0,2.544,0.554,9232.8,3.363,1,human
630.4,53.2,2,0.0209,0,84.7,1.582,0.154,431.9,4.299,0,llama
4390.9,591.6,18,0.3335,9,1141.2,3.228,0.658,5708.5,3.275,1,human
505.0,78.1,0,0.1054,3,187.1,0.408,0.3,713.3,4.615,0,gemini
2815.3,458.5,6,0.3985,4,1117.6,2.802,0.736,11559.2,4.268,1,human
199.3,47.8,0,0.1092,0,82.1,1.858,0.102,842.0,4.153,0,claude
3833.9,213.9,16,0.1889,8,493.6,2.48,0.713,8472.0,3.857,1,human
3516.8,773.5,7,0.0918,6,6306.2,3.46,0.618,4245.8,3.583,1,human
520.5,84.6,2,0.0324,1,154.3,0.478,0.066,328.6,4.267,0,llama
3559.3,341.1,6,0.3705,6,862.1,3.205,0.954,5626.1,4.4,1,human
2905.0,433.3,4,0.3322,8,1537.5,2.653,0.744,6916.8,3.499,1,human
13668.9,914.1,0,0.1824,7,1971.1,2.342,0.686,11056.7,3.934,1,human
774.1,65.6,3,0.0536,0,90.6,1.28,0.291,300.0,4.243,0,claude
5977.9,344.9,18,0.2185,10,1379.2,2.127,0.806,3992.4,3.57,1,human
332.5,54.1,1,0.1426,1,109.6,1.589,0.106,489.7,4.352,0,claude
635.9,54.7,0,0.0758,1,222.4,0.341,0.243,527.7,3.879,0,llama
133.6,52.1,1,0.0394,0,152.9,0.335,0.214,446.1,4.998,0,claude
7622.3,439.1,4,0.5257,6,819.9,2.537,0.892,5045.0,3.852,1,human
1921.3,233.1,6,0.2897,7,490.6,2.4,0.76,4708.6,3.889,1,human
3626.2,1224.6,6,0.2069,9,1361.2,2.604,0.81,7593.5,3.426,1,human
8501.7,497.7,3,0.3577,8,1697.0,2.662,0.81,9886.6,4.339,1,human
2212.5,501.7,5,0.0296,11,1039.0,3.294,0.845,4318.2,4.009,1,human
3179.5,692.0,18,0.1977,12,1587.3,1.786,0.765,7073.1,4.11,1,human
345.2,74.1,2,0.1798,1,156.6,0.737,0.185,307.9,4.441,0,llama
260.5,112.4,0,0.1596,0,114.1,0.217,0.191,776.1,4.252,0,gemini
713.5,79.4,1,0.0133,1,148.4,0.6,0.144,380.9,4.524,0,mistral
3072.1,261.8,7,0.197,7,609.4,3.247,0.737,11815.6,3.493,1,human
328.9,78.9,1,0.0541,1,83.9,0.567,0.131,568.4,4.205,0,claude
419.3,59.8,1,0.1136,1,112.6,0.62,0.266,317.1,4.29,0,llama
519.2,84.4,0,0.0608,1,158.3,0.204,0.235,300.0,4.464,0,gpt4
6682.1,951.0,11,0.2539,7,692.4,2.25,0.798,3406.8,3.315,1,human
6655.2,230.0,3,0.3756,5,1113.4,3.464,0.872,9048.8,4.351,1,human
319.5,47.9,0,0.087,0,209.1,0.323,0.254,400.9,4.391,0,gpt4
4202.9,1150.3,3,0.0804,10,660.6,3.112,0.656,4796.3,5.5,1,human
240.6,64.3,1,0.175,1,140.3,1.219,0.108,513.6,4.096,0,gpt4
334.9,92.5,0,0.1054,1,103.2,0.157,0.153,522.5,4.292,0,claude
755.7,80.7,1,0.1214,0,209.7,1.204,0.095,670.2,4.586,0,llama
4212.8,346.5,8,0.2342,11,2515.3,2.961,0.791,8566.1,4.36,1,human
6759.9,788.2,10,0.255,11,1705.0,2.571,0.743,5391.0,3.892,1,human
8617.6,302.0,3,0.4562,4,1506.7,3.441,0.83,5970.1,4.138,1,human
2615.9,242.5,5,0.2902,4,485.6,2.401,0.71,5970.6,3.879,1,human
